[ 2023-06-26 00:19:17,588 ] Using spritesheet cache size of 910
[ 2023-06-26 00:19:18,174 ] Asset loading complete
[ 2023-06-26 00:23:55,798 ] Using spritesheet cache size of 910
[ 2023-06-26 00:23:56,358 ] Asset loading complete
[ 2023-06-26 00:33:40,790 ] Using spritesheet cache size of 910
[ 2023-06-26 00:33:41,605 ] Asset loading complete
[ 2023-06-26 00:33:41,702 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:33:54,734 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:33:54,925 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:35:13,549 ] Using spritesheet cache size of 910
[ 2023-06-26 00:35:14,015 ] Asset loading complete
[ 2023-06-26 00:35:28,250 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:35:28,992 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:35:28,992 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:35:28,992 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:35:28,992 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:35:28,992 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:35:29,023 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:35:29,027 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:35:29,121 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:35:30,248 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:35:33,024 ] Connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"  was disconnected ( "The remote host closed the connection" )
[ 2023-06-26 00:35:33,060 ] Disconnected from gameserver
[ 2023-06-26 00:35:33,514 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:36:07,282 ] Using spritesheet cache size of 910
[ 2023-06-26 00:36:07,744 ] Asset loading complete
[ 2023-06-26 00:36:18,719 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:36:19,438 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:36:19,438 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:36:19,438 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:36:19,438 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:36:19,438 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:36:19,470 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:36:19,475 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:36:19,568 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:36:20,687 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:36:36,109 ] Connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"  was disconnected ( "The remote host closed the connection" )
[ 2023-06-26 00:36:36,143 ] Disconnected from gameserver
[ 2023-06-26 00:36:36,606 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:38:34,623 ] Using spritesheet cache size of 910
[ 2023-06-26 00:38:35,378 ] Asset loading complete
[ 2023-06-26 00:38:35,467 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:38:47,655 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:38:48,119 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:38:56,851 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:38:57,043 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:39:04,793 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:39:05,080 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:39:05,363 ] News query failed: "Unrecognized event news."
[ 2023-06-26 00:39:05,851 ] Could not find Sound Effect ID 688
[ 2023-06-26 00:39:06,108 ] BattlEye: "Initialized (v1.249)"
[ 2023-06-26 00:39:06,108 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-06-26 00:39:06,108 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-06-26 00:39:06,108 ] BattlEye: "Config entry: GameID tibia"
[ 2023-06-26 00:39:06,108 ] BattlEye: "Config entry: MasterPort 7171"
[ 2023-06-26 00:39:06,140 ] Request connection to gameserver  "tcp://158.69.59.188:7172"  (unprotected:  "tcp://158.69.59.188:7172" )  requested (Charakter "Admin Zeltix" )
[ 2023-06-26 00:39:06,145 ] Request connection to gameserver  "tcp://158.69.59.188:7172" "Midnight"
[ 2023-06-26 00:39:06,235 ] Connected to gameserver  "tcp://158.69.59.188:7172" "Midnight"
